name,group,Rank,Rating,Reviews,Min Installs,max_installs
Casino X - FREE NEW SLOTS,Casino,348,4.2,4517,500000,1000000
PicsArt - Photo Studio,Photography,349,4.53,2055489,100000000,500000000
Nitro Nation,Racing,350,4.04,47819,1000000,5000000
Udemy,Education,351,4.31,7559,100000,500000
Jewels Saga,Arcade,352,4.48,316192,10000000,50000000
GolfLogix #1 Free Golf GPS App,Sports,353,3.99,7117,1000000,5000000
Forces of War,Role Playing,354,4.43,20804,1000000,5000000
app,Puzzle,355,4.4,451586,5000000,10000000
Vonage Mobile Call Video Text,Communication,356,4.15,18021,1000000,5000000
Top Farm,Simulation,357,4.13,48125,1000000,5000000
Lies Of Astaroth,Card,358,4.01,5269,100000,500000
VSCO Cam,Photography,359,4.27,68652,1000000,5000000
Fishing Superstars: Season 2,Sports,360,4.39,198890,10000000,50000000
Shall we date  Ninja Love,Adventure,361,4.35,9702,100000,500000
Enemy Lines-Real-Time Strategy,Strategy,362,4.35,61862,1000000,5000000
Star Wars: Tiny Death Star,Simulation,363,3.9,106882,1000000,5000000
Temple Run 2,Action,364,4.37,2391040,100000000,500000000
Slots Wheel Deal free slots,Casino,365,4.24,10788,1000000,5000000
Mad Skills Motocross 2,Racing,366,3.98,92066,1000000,5000000
Dragon Mania,Casual,367,4.14,201226,5000000,10000000
Galaxy Empire,Strategy,368,4.04,43804,1000000,5000000
Dawn of the Dragons,Role Playing,369,4.28,11448,500000,1000000
Growtopia,Adventure,370,4.16,48174,500000,1000000
Heads Up!,Word,371,4.52,6972,100000,500000
Mobile Security & Antivirus,Tools,372,4.43,1196992,50000000,100000000
AllCast Premium,Entertainment,373,4.22,5273,50000,100000
CONTRACT KILLER 2,Action,374,4.37,308702,5000000,10000000
STARDOM: HOLLYWOOD,Adventure,375,4.41,78453,1000000,5000000
Doctor Who: Legacy,Puzzle,376,4.29,22431,500000,1000000
Angry Birds Rio,Arcade,377,4.44,1116491,100000000,500000000
The Amazing Spider-Man,Action,378,3.91,66027,500000,1000000
Truck GPS Route Navigation,Transportation,379,4.28,1004,100000,500000
Dynasty Warlord,Strategy,380,4.06,15385,100000,500000
SuperGNES (SNES Emulator),Arcade,381,4.35,17460,500000,1000000
Shall we date MySweetPrince,Adventure,382,4.25,11336,100000,500000
PokerStars Lite - Free Poker,Card,383,4.48,72696,1000000,5000000
Scramble With Friends,Word,384,4.48,32558,100000,500000
Texas Holdem Poker-Poker KinG,Card,385,4.29,11714,100000,500000
Battle Nations,Strategy,386,3.96,10109,100000,500000
Grand Theft Auto III,Action,387,3.69,54098,1000000,5000000
Call of Duty Black Ops Zombies,Action,388,4.05,19106,100000,500000
Big Business Deluxe,Simulation,389,4.44,55345,500000,1000000
Chaos Fighters,Adventure,390,4.14,455,10000,50000
Slots Romance: NEW SLOTS GAME,Casino,391,4.62,1649,10000,50000
Monsterama Planet,Simulation,392,4.34,29481,1000000,5000000
Shall we date Mononoke Kiss,Adventure,393,4.48,3574,50000,100000
Slots Casino Party,Casino,394,3.88,54083,1000000,5000000
Castle Defense,Strategy,395,4.29,115330,10000000,50000000
Workout Trainer,Health & Fitness,396,4.3,58849,5000000,10000000
Lords & Knights - Strategy MMO,Strategy,397,4.19,28149,1000000,5000000
Fish Live,Family,398,4.45,295342,10000000,50000000
Slot Casino - Slot Machines,Board,399,4.42,97381,10000000,50000000
Keeper Password & Data Vault,Tools,400,4.37,29875,1000000,5000000
Grand Theft Auto: Vice City,Arcade,401,3.98,35071,500000,1000000
Assistant,Lifestyle,402,4.59,305256,5000000,10000000
Cats & Dogs Casino -FREE Slots,Casino,403,4.51,10714,100000,500000
Panda Jam,Puzzle,404,4.13,34605,1000000,5000000
Armed Heroes(BGI),Arcade,405,3.94,13515,100000,500000
Slots Bonanza slot machines,Casino,406,4.21,9916,100000,500000
HotSchedules,Productivity,407,2.84,5588,100000,500000
SlingPlayer for Phones,Entertainment,408,4.32,10305,100000,500000
Pocket Fort,Strategy,409,4.38,13128,500000,1000000
Hidden Object: Mystery Estate,Puzzle,410,4.17,61282,1000000,5000000
TMNT: ROOFTOP RUN,Action,411,3.89,3427,50000,100000
Justin.tv,Entertainment,412,3.14,1295,10000,50000
Caller Id Faker,Communication,413,4.51,5590,100000,500000
Slots Farm - slot machines,Casino,414,4.35,10927,1000000,5000000
Fairway Solitaire Blast,Card,415,4.02,10898,100000,500000
Garmin Pilot,Weather,416,3.77,369,10000,50000
FINAL FANTASY VI,Role Playing,417,4.54,9063,50000,100000
FINAL FANTASY IV,Role Playing,418,4.43,9920,100000,500000
NYTimes - Breaking News,News & Magazines,419,3.75,31465,5000000,10000000
WIND RUNNER,Action,420,4.47,27441,100000,500000
Life is Crime,Casual,421,4.33,48168,1000000,5000000
Word Chums,Word,422,4.84,38601,100000,500000
Garden Mania 2,Casual,423,4.31,31565,1000000,5000000
